Spot,rate,borrow,vol,maturity,American Price,European Price,AM/EU,Delta_am,Delta_eu,Vega_am,Vega_eu
40.0,0.0025,-0.004,0.1,10.0,-4.16304020991345e-73,-4.16304020991345e-73,1.0,2.59108678753536e-72,2.59108678753536e-72,-7.10350657918246e-69,-7.10350657918246e-69
40.0,0.0025,-0.004,0.1,20.0,-2.00743815552173e-56,-2.00743815552173e-56,1.0,1.07754717215941e-55,1.07754717215941e-55,-1.05313683228393e-52,-1.05313683228393e-52
40.0,0.0025,-0.004,0.1,30.0,-1.11703373618102e-47,-1.11703373618102e-47,1.0,6.25466484262066e-47,6.25466484262066e-47,-2.76770093677401e-44,-2.76770093677401e-44
40.0,0.0025,-0.004,0.1,40.0,-2.08980997439426e-42,-2.08980997439426e-42,1.0,2.55640813854483e-41,2.55640813854483e-41,-1.92551874477237e-39,-1.92551874477237e-39
40.0,0.0025,-0.004,0.1,50.0,-7.59287523574267e-38,-7.59287523574267e-38,1.0,6.15270026237873e-37,6.15270026237873e-37,-5.9778928576716e-35,-5.9778928576716e-35
40.0,0.0025,-0.004,0.1,60.0,1.54881987682704e-35,1.54881987682704e-35,1.0,7.65005667592279e-34,7.65005667592279e-34,2.794377121839e-32,2.794377121839e-32
42.0,0.0025,-0.004,0.1,10.0,-5.45867162532521e-70,-5.45867162532521e-70,1.0,2.94493571071534e-69,2.94493571071534e-69,-7.41574676568541e-66,-7.41574676568541e-66
42.0,0.0025,-0.004,0.1,20.0,-5.85042032635357e-55,-5.85042032635357e-55,1.0,1.21074708274319e-53,1.21074708274319e-53,-2.2010308286021e-51,-2.2010308286021e-51
42.0,0.0025,-0.004,0.1,30.0,-2.31611772533747e-45,-2.31611772533747e-45,1.0,1.33311886407845e-44,1.33311886407845e-44,-4.45012504943762e-42,-4.45012504943762e-42
42.0,0.0025,-0.004,0.1,40.0,-3.24494293334688e-40,-3.24494293334688e-40,1.0,3.7921472344912e-39,3.7921472344912e-39,-2.3254316131767e-37,-2.3254316131767e-37
42.0,0.0025,-0.004,0.1,50.0,-6.30462618827001e-36,-6.30462618827001e-36,1.0,5.92897661348378e-35,5.92897661348378e-35,-3.61159283969157e-33,-3.61159283969157e-33
42.0,0.0025,-0.004,0.1,60.0,2.78278322707576e-33,2.78278322707576e-33,1.0,5.523767664331e-32,5.523767664331e-32,2.6221204123685e-30,2.6221204123685e-30
44.0,0.0025,-0.004,0.1,10.0,-3.91237624098425e-68,-3.91237624098425e-68,1.0,5.85332836285942e-67,5.85332836285942e-67,-4.5091952849786e-64,-4.5091952849786e-64
44.0,0.0025,-0.004,0.1,20.0,-2.45915364947537e-52,-2.45915364947537e-52,1.0,4.44867781537354e-51,4.44867781537354e-51,-7.38410000655397e-49,-7.38410000655397e-49
44.0,0.0025,-0.004,0.1,30.0,-1.99196516159467e-44,-1.99196516159467e-44,1.0,9.17511378280399e-43,9.17511378280399e-43,-3.81189251662947e-42,-3.81189251662947e-42
44.0,0.0025,-0.004,0.1,40.0,-5.63270565461026e-38,-5.63270565461026e-38,1.0,4.43583936257624e-37,4.43583936257624e-37,-4.58492826592998e-35,-4.58492826592998e-35
44.0,0.0025,-0.004,0.1,50.0,2.23056566826517e-34,2.23056566826517e-34,1.0,2.08090711687125e-33,2.08090711687125e-33,2.002660905034e-31,2.002660905034e-31
44.0,0.0025,-0.004,0.1,60.0,-5.07913238384004e-31,-5.07913238384004e-31,1.0,4.70499984076892e-30,4.70499984076892e-30,-1.32646909887743e-28,-1.32646909887743e-28
46.0,0.0025,-0.004,0.1,10.0,-1.2041300782166e-64,-1.2041300782166e-64,1.0,5.5874673909287e-64,5.5874673909287e-64,-1.15009352864446e-60,-1.15009352864446e-60
46.0,0.0025,-0.004,0.1,20.0,-3.11495788124053e-49,-3.11495788124053e-49,1.0,1.61592819318155e-48,1.61592819318155e-48,-8.550216883763e-46,-8.550216883763e-46
