Spot,rate,borrow,vol,maturity,American Price,European Price,AM/EU,Delta_am,Delta_eu,Vega_am,Vega_eu
40.0,0.0025,-0.004,0.1,10.0,59.9999999854729,59.9837301468769,1.000271237526512,-1.00000000014172,-1.00015874275702,0.0,2.1316282072803e-14
40.0,0.0025,-0.004,0.1,15.0,59.9999999837303,59.9755952113771,1.0004069117157937,-1.00000000015874,-1.00023812358501,7.105427357601e-15,3.5527136788005e-14
40.0,0.0025,-0.004,0.1,20.0,59.9999999837302,59.9674602698753,1.0005426228442635,-1.00000000015873,-1.00031751071333,7.105427357601e-15,2.1316282072803e-14
40.0,0.0025,-0.004,0.1,30.0,59.9999999837301,59.9511903687371,1.0008141558940329,-1.00000000015873,-1.00047630387291,7.105427357601e-15,-5.6843418860808e-14
40.0,0.0025,-0.004,0.1,40.0,59.9999999837299,59.934920443204,1.001085836771696,-1.00000000015873,-1.00063512223978,0.0,1.4210854715202e-14
40.0,0.0025,-0.004,0.1,50.0,59.9999999837298,59.9186504930179,1.0013576656023215,-1.00000000015874,-1.0007939658179,-7.105427357601e-15,-1.4210854715202e-14
40.0,0.0025,-0.004,0.1,60.0,59.9999999837296,59.9023805179208,1.001629642511112,-1.00000000015874,-1.00095283461135,0.0,1.4210854715202e-14
42.0,0.0025,-0.004,0.1,10.0,57.9999999851895,57.9834126613629,1.00028607015464,-1.00000000014173,-1.00015874275704,-7.105427357601e-15,-2.1316282072803e-14
42.0,0.0025,-0.004,0.1,15.0,57.9999999834128,57.975118964207,1.0004291671953474,-1.00000000015874,-1.00023812358501,0.0,-4.2632564145606e-14
42.0,0.0025,-0.004,0.1,20.0,57.9999999834127,57.9668252484486,1.0005723055354836,-1.00000000015873,-1.00031751071334,7.105427357601e-15,-1.4210854715202e-14
42.0,0.0025,-0.004,0.1,30.0,57.9999999834126,57.9502377609912,1.0008587060958514,-1.00000000015873,-1.0004763038729,7.105427357601e-15,-1.4210854715202e-14
42.0,0.0025,-0.004,0.1,40.0,57.9999999834124,57.9336501987244,1.0011452719526632,-1.00000000015874,-1.00063512223975,7.105427357601e-15,7.105427357601e-15
42.0,0.0025,-0.004,0.1,50.0,57.9999999834123,57.9170625613822,1.0014320032536561,-1.00000000015873,-1.0007939658179,-7.105427357601e-15,-4.2632564145606e-14
42.0,0.0025,-0.004,0.1,60.0,57.9999999834121,57.9004748486981,1.0017189001467444,-1.00000000015873,-1.00095283461137,0.0,-2.8421709430404e-14
44.0,0.0025,-0.004,0.1,10.0,55.999999984906,55.9830951758488,1.0003019627443623,-1.00000000014173,-1.00015874275702,-7.105427357601e-15,7.105427357601e-15
44.0,0.0025,-0.004,0.1,15.0,55.9999999830954,55.974642717037,1.000453013450869,-1.00000000015873,-1.00023812358501,-1.4210854715202e-14,3.5527136788005e-14
44.0,0.0025,-0.004,0.1,20.0,55.9999999830953,55.966190227022,1.000604110373355,-1.00000000015873,-1.00031751071332,7.105427357601e-15,-2.1316282072803e-14
44.0,0.0025,-0.004,0.1,30.0,55.9999999830951,55.9492851532454,1.0009064428564332,-1.00000000015873,-1.00047630387291,1.4210854715202e-14,0.0
44.0,0.0025,-0.004,0.1,40.0,55.999999983095,55.9323799542449,1.0012089603357737,-1.00000000015873,-1.00063512223976,-1.4210854715202e-14,-3.5527136788005e-14
44.0,0.0025,-0.004,0.1,50.0,55.9999999830948,55.9154746297463,1.001511662986109,-1.00000000015874,-1.00079396581789,-7.105427357601e-15,2.8421709430404e-14
44.0,0.0025,-0.004,0.1,60.0,55.9999999830947,55.8985691794754,1.0018145509823988,-1.00000000015874,-1.00095283461136,0.0,7.105427357601e-15
46.0,0.0025,-0.004,0.1,10.0,53.9999999846225,53.9827776903348,1.0003190331254626,-1.00000000014173,-1.00015874275703,-7.105427357601e-15,7.105427357601e-15
46.0,0.0025,-0.004,0.1,15.0,53.9999999827779,53.9741664698669,1.0004786273619515,-1.00000000015872,-1.00023812358503,-7.105427357601e-15,7.105427357601e-15
46.0,0.0025,-0.004,0.1,20.0,53.9999999827778,53.9655552055954,1.000638273377364,-1.00000000015872,-1.00031751071333,7.105427357601e-15,-4.2632564145606e-14
46.0,0.0025,-0.004,0.1,30.0,53.9999999827777,53.9483325454996,1.000957720745762,-1.00000000015872,-1.00047630387289,0.0,2.8421709430404e-14
46.0,0.0025,-0.004,0.1,40.0,53.9999999827775,53.9311097097654,1.0012773754032291,-1.00000000015874,-1.00063512223975,0.0,4.2632564145606e-14
46.0,0.0025,-0.004,0.1,50.0,53.9999999827773,53.9138866981105,1.001597237556791,-1.00000000015874,-1.0007939658179,7.105427357601e-15,0.0
46.0,0.0025,-0.004,0.1,60.0,53.9999999827772,53.8966635102526,1.00191730741375,-1.00000000015874,-1.00095283461137,0.0,-7.105427357601e-15
48.0,0.0025,-0.004,0.1,10.0,51.9999999843391,51.9824602048207,1.0003374172643866,-1.00000000014173,-1.00015874275702,0.0,5.6843418860808e-14
48.0,0.0025,-0.004,0.1,15.0,51.9999999824604,51.9736902226969,1.0005062130406899,-1.00000000015872,-1.00023812358503,0.0,0.0
48.0,0.0025,-0.004,0.1,20.0,51.9999999824604,51.9649201841687,1.0006750669137445,-1.00000000015872,-1.00031751071333,-7.105427357601e-15,0.0
48.0,0.0025,-0.004,0.1,30.0,51.9999999824602,51.9473799377538,1.001012948964307,-1.00000000015873,-1.0004763038729,0.0,-2.8421709430404e-14
48.0,0.0025,-0.004,0.1,40.0,51.99999998246,51.9298394652858,1.001351063625396,-1.00000000015873,-1.00063512223977,7.105427357601e-15,3.5527136788005e-14
