isCall,spot,strike,divExDate,dividend,Expiration,earlyExercise,euroModel,rate,borrowRate,vol,TradingDays,AmericanPrice,AmericanDelta,AmericanVega,EuropeanPrice,EuropeanDelta,EuropeanVega
False,50.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,51.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,52.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,53.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,54.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,55.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,56.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,57.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,58.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,59.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,60.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,61.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,62.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,63.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,64.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,65.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,66.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,67.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,68.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,69.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,70.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,71.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,72.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,73.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,74.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,75.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,76.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,77.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,78.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,79.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,80.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,81.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,82.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,83.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,84.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,85.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,86.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,87.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,88.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,89.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,90.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,91.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,92.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,93.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,94.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,95.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,96.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,97.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,98.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,99.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,100.0,100.0,1.0,0.0,1.0,False,False,0.01,0.005,0.15,252,0,0,0,0,0,0
False,50.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,49.9999999946852,-0.999999999964562,0,49.994047894613,-0.999960318247666,4.9737991503207E-14
False,51.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,48.9999999947206,-0.999999999964572,-7.105427357601E-15,48.9940875763654,-0.999960318247605,-2.1316282072803E-14
False,52.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,47.9999999947561,-0.999999999964567,7.105427357601E-15,47.9941272581177,-0.999960318247689,-1.4210854715202E-14
False,53.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,46.9999999947915,-0.999999999964573,0,46.99416693987,-0.999960318247669,1.4210854715202E-14
False,54.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,45.9999999948269,-0.999999999964568,0,45.9942066216223,-0.999960318247675,4.2632564145606E-14
False,55.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,44.9999999948624,-0.999999999964564,-7.105427357601E-15,44.9942463033747,-0.999960318247644,-1.4210854715202E-14
False,56.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,43.9999999948978,-0.999999999964575,0,43.9942859851271,-0.999960318247673,0
False,57.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,42.9999999949332,-0.999999999964562,0,42.9943256668794,-0.999960318247656,0
False,58.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,41.9999999949687,-0.999999999964567,7.105427357601E-15,41.9943653486317,-0.999960318247663,0
False,59.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,40.9999999950041,-0.999999999964575,0,40.9944050303841,-0.999960318247648,-7.105427357601E-15
False,60.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,39.9999999950395,-0.999999999964573,7.105427357601E-15,39.9944447121365,-0.999960318247655,-2.1316282072803E-14
False,61.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,38.999999995075,-0.999999999964576,7.105427357601E-15,38.9944843938888,-0.999960318247647,-2.1316282072803E-14
False,62.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,37.9999999951104,-0.999999999964561,-7.105427357601E-15,37.9945240756411,-0.999960318247648,0
False,63.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,36.9999999951458,-0.999999999964566,0,36.9945637573935,-0.999960318247671,-1.4210854715202E-14
False,64.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,35.9999999951813,-0.999999999964562,0,35.9946034391458,-0.999960318247677,-2.8421709430404E-14
False,65.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,34.9999999952167,-0.99999999996457,7.105427357601E-15,34.9946431208981,-0.999960318247647,7.105427357601E-15
False,66.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,33.9999999952521,-0.999999999964572,-7.105427357601E-15,33.9946828026505,-0.999960318247663,-2.1316282072803E-14
False,67.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,32.9999999952876,-0.999999999964564,0,32.9947224844028,-0.999960318247666,0
False,68.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,31.999999995323,-0.999999999964569,3.5527136788005E-15,31.9947621661551,-0.999960318247648,3.90798504668055E-14
False,69.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,30.9999999953584,-0.999999999964561,-3.5527136788005E-15,30.9948018479075,-0.999960318247666,0
False,70.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,29.9999999953939,-0.999999999964565,0,29.9948415296598,-0.999960318247667,0
False,71.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,28.9999999954293,-0.999999999964572,3.5527136788005E-15,28.9948812114122,-0.999960318247652,1.06581410364015E-14
False,72.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,27.9999999954647,-0.999999999964568,-3.5527136788005E-15,27.9949208931645,-0.999960318247667,-2.1316282072803E-14
False,73.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,26.9999999955001,-0.999999999964564,7.105427357601E-15,26.9949605749169,-0.999960318247641,-3.5527136788005E-15
False,74.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,25.9999999955356,-0.999999999964567,3.5527136788005E-15,25.9950002566692,-0.999960318247662,-3.5527136788005E-15
False,75.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,24.999999995571,-0.999999999964564,7.105427357601E-15,24.9950399384215,-0.999960318247664,-2.1316282072803E-14
False,76.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,23.9999999956064,-0.999999999964568,0,23.9950796201739,-0.999960318247655,1.4210854715202E-14
False,77.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,22.9999999956419,-0.999999999964565,0,22.9951193019262,-0.999960318247667,-1.4210854715202E-14
False,78.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,21.9999999956773,-0.999999999964562,0,21.9951589836785,-0.999960318247666,1.77635683940025E-14
False,79.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,20.9999999957127,-0.999999999964569,3.5527136788005E-15,20.9951986654309,-0.999960318247671,3.5527136788005E-15
False,80.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,19.9999999957482,-0.999999999964567,0,19.9952383471832,-0.999960318247659,0
False,81.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,18.9999999957836,-0.999999999964572,0,18.9952780289356,-0.999960318247664,3.5527136788005E-15
False,82.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,17.999999995819,-0.999999999964567,-3.5527136788005E-15,17.9953177106879,-0.999960318247669,-1.06581410364015E-14
False,83.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,16.9999999958545,-0.999999999964565,-3.5527136788005E-15,16.9953573924402,-0.999960318247654,7.105427357601E-15
False,84.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,15.9999999958899,-0.999999999964566,0,15.9953970741926,-0.99996031824766,-7.105427357601E-15
False,85.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,14.9999999959253,-0.999999999964568,1.77635683940025E-15,14.9954367559449,-0.999960318247666,-1.77635683940025E-15
False,86.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,13.9999999959608,-0.999999999964567,0,13.9954764376973,-0.999960318247659,-8.88178419700125E-15
False,87.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,12.9999999959962,-0.999999999964566,3.5527136788005E-15,12.9955161194496,-0.999960318247666,3.5527136788005E-15
False,88.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,11.9999999960316,-0.999999999964567,1.77635683940025E-15,11.995555801202,-0.999960318247666,5.32907051820075E-15
False,89.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,10.9999999960671,-0.999999999964569,-1.77635683940025E-15,10.9955954829543,-0.999960318247631,5.15143483426073E-14
False,90.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,9.99999999610249,-0.999999999964564,1.77635683940025E-15,9.99563516470682,-0.999960318245694,1.95221616650088E-12
False,91.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,8.99999999613792,-0.999999999964569,0,8.99567484647139,-0.999960318165472,9.24540444202648E-11
False,92.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,7.99999999617335,-0.999999999964568,0,7.99571452884029,-0.999960314542305,3.39542260974213E-09
False,93.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,6.99999999620878,-0.999999999964569,0,6.99575423700118,-0.999960175616805,1.03122958172719E-07
False,94.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,5.99999999624422,-0.999999999964569,0,5.99579484680175,-0.999956250731189,2.45692042000201E-06
False,95.0,100.0,1.0,0.0,2.0,False,False,0.01,0.005,0.15,252,4.99999999627965,-0.999999999964569,0,4.99585850045906,-0.999870934105312,4.1548973800154E-05
